Age,Gender,Marital Status,Education Level,Employment Status,Credit Utilization Ratio, Payment History ,Number of Credit Accounts, Loan Amount ,Interest Rate,Loan Term,Type of Loan,Age Group
55,Male,Married,PhD,Employed,0.8, 485 ,2,200000,2.17,24,Personal Loan,fifties
45,Female,Divorced,High School,Unemployed,0.59, 257 ,1,641000,4.76,48,Personal Loan,forties
41,Male,Married,PhD,Employed,0.17," 2,085 ",7,3413000,10.43,48,Home Loan,forties
31,Female,Married,Bachelor,Self-Employed,0.28, 542 ,1,2162000,13.3,48,Auto Loan,thirties
50,Male,Married,Master,Self-Employed,0.14, 714 ,9,2190000,12.98,60,Personal Loan,fifties
65,Female,Single,PhD,Self-Employed,0.91," 1,828 ",6,3358000,6.14,12,Auto Loan,sixties
34,Male,Single,High School,Self-Employed,0.53," 2,800 ",10,2053000,19.51,12,Personal Loan,thirties
35,Female,Divorced,High School,Employed,0.58," 1,400 ",6,1557000,4.35,60,Auto Loan,thirties
64,Female,Divorced,High School,Unemployed,0.7," 2,057 ",10,1292000,11.7,24,Auto Loan,sixties
39,Male,Single,High School,Employed,0.06," 2,200 ",4,267000,11.0,12,Auto Loan,thirties
32,Male,Single,Bachelor,Self-Employed,0.06, 514 ,10,1288000,15.71,60,Auto Loan,thirties
43,Female,Divorced,High School,Self-Employed,0.3, 485 ,3,3765000,16.05,48,Home Loan,forties
31,Female,Married,Bachelor,Self-Employed,0.31," 2,514 ",5,1168000,4.38,12,Home Loan,thirties
45,Male,Married,Master,Unemployed,0.22," 2,057 ",2,4262000,3.67,12,Personal Loan,forties
40,Male,Divorced,High School,Unemployed,0.67," 2,657 ",6,3847000,1.22,24,Personal Loan,forties
24,Female,Single,High School,Unemployed,0.0," 1,400 ",8,3620000,19.41,48,Auto Loan,twenties
42,Female,Married,PhD,Unemployed,0.65," 2,485 ",4,1464000,9.57,12,Auto Loan,forties
40,Female,Married,High School,Self-Employed,0.17," 1,371 ",3,729000,11.39,12,Auto Loan,forties
59,Female,Divorced,High School,Self-Employed,0.94, 600 ,10,3742000,3.98,12,Auto Loan,fifties
32,Female,Divorced,Master,Unemployed,0.28, 857 ,2,516000,8.47,60,Auto Loan,thirties
23,Female,Married,PhD,Employed,0.29," 2,400 ",10,4129000,4.79,12,Personal Loan,twenties
60,Female,Married,PhD,Employed,0.31," 1,428 ",8,4203000,18.0,36,Personal Loan,sixties
54,Female,Married,Master,Self-Employed,0.37," 1,628 ",1,2309000,9.36,36,Personal Loan,fifties
56,Male,Married,High School,Employed,0.67," 1,971 ",7,2009000,11.52,48,Home Loan,fifties
54,Female,Divorced,Bachelor,Self-Employed,0.3," 1,428 ",1,4312000,11.85,60,Home Loan,fifties
59,Male,Married,PhD,Employed,0.95, 600 ,4,1717000,3.4,48,Personal Loan,fifties
47,Male,Divorced,Bachelor,Unemployed,0.26," 2,657 ",2,830000,8.37,48,Home Loan,forties
37,Female,Married,PhD,Employed,0.41, 514 ,10,4988000,15.41,12,Personal Loan,thirties
26,Female,Divorced,Master,Self-Employed,0.26," 2,371 ",8,4898000,12.57,12,Personal Loan,twenties
45,Male,Divorced,PhD,Employed,0.4," 1,200 ",4,513000,15.17,36,Auto Loan,forties
41,Female,Single,Master,Self-Employed,0.86," 2,485 ",2,2012000,3.55,48,Auto Loan,forties
46,Male,Married,PhD,Employed,0.91," 1,485 ",8,4433000,17.48,12,Home Loan,forties
24,Female,Divorced,PhD,Employed,0.78," 1,914 ",10,343000,4.3,24,Personal Loan,twenties
22,Female,Married,Master,Unemployed,0.2," 1,342 ",8,4337000,8.54,12,Home Loan,twenties
35,Female,Single,PhD,Employed,0.96," 1,714 ",10,4725000,7.65,24,Auto Loan,thirties
64,Male,Single,High School,Self-Employed,0.05," 2,085 ",4,1957000,13.3,24,Auto Loan,sixties
46,Male,Divorced,High School,Self-Employed,0.91," 2,342 ",3,171000,5.25,60,Auto Loan,forties
65,Female,Single,PhD,Self-Employed,0.46, 771 ,8,2635000,13.87,60,Auto Loan,sixties
26,Male,Divorced,Master,Unemployed,0.65," 2,200 ",5,2604000,14.0,48,Personal Loan,twenties
37,Female,Single,Master,Unemployed,0.71," 2,371 ",5,1680000,3.85,24,Personal Loan,thirties
45,Female,Divorced,Bachelor,Unemployed,0.03," 1,800 ",5,2276000,18.23,48,Auto Loan,forties
22,Male,Single,Bachelor,Unemployed,0.53," 2,857 ",8,3107000,10.64,24,Home Loan,twenties
31,Female,Married,PhD,Employed,0.74," 2,628 ",9,1636000,18.99,36,Home Loan,thirties
34,Female,Married,Master,Self-Employed,0.79," 1,200 ",6,2286000,12.13,48,Personal Loan,thirties
23,Male,Single,Bachelor,Unemployed,0.12," 2,485 ",7,4545000,6.67,12,Personal Loan,twenties
32,Female,Single,PhD,Employed,0.32," 2,600 ",3,778000,10.26,24,Auto Loan,thirties
23,Male,Single,Master,Employed,0.76, 600 ,10,1429000,10.3,12,Personal Loan,twenties
47,Female,Single,PhD,Self-Employed,0.38, 114 ,9,1773000,14.88,12,Auto Loan,forties
32,Male,Divorced,High School,Unemployed,0.73, 800 ,6,2718000,3.45,48,Home Loan,thirties
39,Male,Married,High School,Self-Employed,0.95," 1,657 ",9,4497000,7.42,24,Auto Loan,thirties
42,Male,Married,PhD,Employed,0.23," 2,657 ",3,1872000,14.95,60,Home Loan,forties
27,Female,Divorced,High School,Self-Employed,0.88, 914 ,9,508000,12.28,12,Home Loan,twenties
61,Male,Married,High School,Self-Employed,0.44, 428 ,9,2220000,10.01,24,Personal Loan,sixties
63,Male,Single,PhD,Unemployed,0.1," 1,885 ",5,1251000,8.96,12,Home Loan,sixties
59,Male,Single,High School,Employed,0.5," 2,200 ",4,2306000,16.8,24,Auto Loan,fifties
46,Female,Married,High School,Unemployed,0.5, 742 ,8,2873000,5.46,12,Home Loan,forties
27,Female,Married,High School,Unemployed,0.08," 2,628 ",2,2247000,13.24,48,Auto Loan,twenties
49,Male,Married,Bachelor,Employed,0.85," 1,314 ",6,3674000,15.03,12,Personal Loan,forties
28,Male,Single,Master,Self-Employed,0.96, 971 ,2,3226000,16.48,24,Personal Loan,twenties
45,Female,Single,PhD,Unemployed,0.85," 1,514 ",3,1048000,3.52,12,Personal Loan,forties
46,Female,Divorced,PhD,Employed,0.61," 2,828 ",6,342000,17.39,24,Auto Loan,forties
27,Female,Single,High School,Employed,0.26," 1,142 ",1,4502000,15.58,60,Home Loan,twenties
34,Female,Divorced,High School,Self-Employed,0.66, 885 ,8,3000000,13.61,48,Personal Loan,thirties
59,Male,Married,Bachelor,Unemployed,0.85," 1,800 ",3,728000,15.28,36,Personal Loan,fifties
37,Male,Divorced,Bachelor,Unemployed,0.64," 1,457 ",4,761000,9.72,60,Auto Loan,thirties
51,Female,Single,High School,Self-Employed,0.75, 57 ,2,3484000,8.83,60,Home Loan,fifties
25,Female,Divorced,Bachelor,Unemployed,0.67," 1,228 ",6,555000,16.52,48,Auto Loan,twenties
59,Female,Divorced,Master,Unemployed,0.45, 342 ,4,118000,7.49,36,Home Loan,fifties
43,Male,Married,Bachelor,Self-Employed,0.14," 2,600 ",7,997000,5.83,24,Personal Loan,forties
45,Male,Single,Bachelor,Unemployed,0.34," 2,742 ",7,490000,18.61,60,Personal Loan,forties
49,Male,Single,High School,Unemployed,0.74," 2,000 ",7,4151000,18.56,24,Home Loan,forties
31,Male,Married,PhD,Unemployed,0.6," 1,171 ",9,3327000,8.95,60,Home Loan,thirties
37,Female,Single,Master,Self-Employed,0.8, 485 ,7,4397000,6.68,60,Auto Loan,thirties
55,Male,Married,Bachelor,Unemployed,0.71," 2,485 ",6,1213000,19.65,24,Home Loan,fifties
64,Female,Divorced,High School,Self-Employed,0.56," 2,114 ",10,3602000,13.81,60,Auto Loan,sixties
20,Male,Married,PhD,Employed,0.05, 200 ,4,2340000,15.25,24,Auto Loan,twenties
36,Male,Married,Master,Employed,0.75, 114 ,6,3897000,2.95,60,Personal Loan,thirties
61,Female,Married,Master,Unemployed,0.66," 1,371 ",7,3594000,19.18,36,Home Loan,sixties
20,Female,Married,PhD,Employed,0.91," 2,571 ",6,4685000,15.03,24,Home Loan,twenties
38,Female,Married,High School,Employed,0.96," 2,685 ",9,1101000,8.17,48,Auto Loan,thirties
36,Male,Married,Master,Employed,0.33," 2,571 ",3,435000,3.92,36,Home Loan,thirties
60,Female,Single,Master,Employed,0.78," 1,142 ",9,1945000,19.18,60,Personal Loan,sixties
30,Female,Divorced,PhD,Employed,0.35, 771 ,6,2877000,7.86,24,Home Loan,thirties
50,Male,Married,Master,Self-Employed,0.24," 2,342 ",10,2145000,19.22,36,Auto Loan,fifties
44,Female,Divorced,Master,Employed,0.91," 2,800 ",6,4414000,16.25,48,Auto Loan,forties
38,Male,Single,High School,Employed,0.17," 2,800 ",9,4573000,1.14,12,Personal Loan,thirties
60,Male,Divorced,PhD,Employed,0.21," 2,542 ",7,705000,15.19,24,Personal Loan,sixties
65,Female,Married,High School,Employed,0.05, 914 ,9,691000,11.92,24,Auto Loan,sixties
44,Female,Divorced,PhD,Self-Employed,0.32," 1,400 ",2,4587000,1.11,60,Personal Loan,forties
57,Male,Divorced,High School,Self-Employed,0.93, 371 ,5,2628000,12.52,36,Auto Loan,fifties
45,Male,Single,Bachelor,Unemployed,0.22," 2,714 ",7,4678000,6.6,24,Auto Loan,forties
61,Female,Married,Bachelor,Employed,0.04," 2,085 ",10,3406000,11.21,12,Auto Loan,sixties
42,Male,Single,Bachelor,Employed,0.18," 2,228 ",5,1730000,3.18,60,Personal Loan,forties
49,Male,Single,High School,Self-Employed,0.1," 2,628 ",10,4187000,19.08,36,Personal Loan,forties
61,Male,Married,Master,Unemployed,0.07, 685 ,6,4176000,9.56,60,Home Loan,sixties
64,Male,Divorced,Master,Self-Employed,0.96, 600 ,1,2727000,5.68,24,Home Loan,sixties
61,Female,Single,Master,Employed,0.68," 1,200 ",8,3983000,9.46,36,Auto Loan,sixties
26,Male,Divorced,High School,Self-Employed,0.86, 485 ,9,1748000,6.0,12,Home Loan,twenties
21,Male,Divorced,PhD,Unemployed,0.21, 114 ,9,2286000,11.33,60,Auto Loan,twenties
29,Female,Single,Bachelor,Unemployed,0.73," 1,057 ",3,3998000,10.52,12,Auto Loan,twenties
52,Male,Divorced,Bachelor,Unemployed,0.68," 2,742 ",9,1278000,9.48,24,Home Loan,fifties
62,Male,Divorced,PhD,Self-Employed,0.04," 2,771 ",8,2044000,2.19,36,Personal Loan,sixties
62,Male,Divorced,Master,Self-Employed,0.47," 1,657 ",1,435000,19.63,36,Personal Loan,sixties
53,Female,Divorced,Master,Unemployed,0.54, 628 ,7,3275000,7.94,12,Home Loan,fifties
44,Male,Divorced,PhD,Self-Employed,0.82," 1,257 ",8,4144000,17.86,12,Home Loan,forties
48,Male,Married,High School,Unemployed,0.64, 771 ,3,1668000,3.99,60,Home Loan,forties
62,Male,Single,Master,Unemployed,0.11," 2,457 ",8,4118000,5.0,24,Home Loan,sixties
21,Male,Married,Bachelor,Unemployed,0.59, 485 ,9,429000,17.93,24,Personal Loan,twenties
36,Male,Divorced,PhD,Unemployed,0.97," 2,314 ",1,2478000,19.0,24,Auto Loan,thirties
50,Female,Married,Bachelor,Self-Employed,0.6," 2,114 ",3,4385000,6.03,36,Auto Loan,fifties
57,Male,Married,PhD,Self-Employed,0.13, 57 ,4,4485000,17.33,60,Home Loan,fifties
29,Male,Married,PhD,Unemployed,0.6," 2,857 ",9,4322000,15.3,12,Auto Loan,twenties
28,Male,Divorced,PhD,Unemployed,0.42, 142 ,9,3698000,5.36,48,Auto Loan,twenties
57,Male,Single,Bachelor,Self-Employed,0.48, 828 ,2,2476000,12.37,60,Auto Loan,fifties
32,Male,Divorced,High School,Unemployed,0.52," 1,885 ",1,3246000,13.44,36,Auto Loan,thirties
26,Male,Single,Master,Self-Employed,0.85," 1,542 ",10,3167000,12.63,48,Personal Loan,twenties
55,Female,Married,Master,Unemployed,0.55, 914 ,5,4946000,7.54,48,Home Loan,fifties
62,Male,Divorced,Bachelor,Self-Employed,0.78, 571 ,2,1899000,10.66,36,Home Loan,sixties
64,Male,Married,PhD,Unemployed,0.01, 314 ,3,4057000,18.59,48,Personal Loan,sixties
36,Male,Single,High School,Unemployed,0.04," 1,400 ",7,4471000,6.44,60,Personal Loan,thirties
60,Female,Single,High School,Employed,0.85," 1,885 ",5,1734000,1.64,60,Home Loan,sixties
64,Male,Divorced,Bachelor,Unemployed,0.04, 857 ,1,1421000,2.65,36,Auto Loan,sixties
62,Female,Single,Bachelor,Unemployed,0.02," 2,571 ",2,856000,11.44,60,Home Loan,sixties
42,Female,Married,Bachelor,Self-Employed,0.93," 2,085 ",1,2290000,4.33,60,Personal Loan,forties
24,Female,Single,High School,Unemployed,0.96," 1,942 ",10,2198000,14.19,48,Home Loan,twenties
35,Female,Single,PhD,Unemployed,0.86," 1,742 ",2,2263000,2.28,24,Home Loan,thirties
34,Female,Single,Master,Unemployed,0.54," 2,542 ",5,2183000,6.46,48,Home Loan,thirties
41,Male,Divorced,Bachelor,Self-Employed,0.31, 771 ,10,2357000,4.47,24,Auto Loan,forties
32,Male,Divorced,Bachelor,Self-Employed,0.21, 714 ,4,3087000,3.96,12,Personal Loan,thirties
63,Female,Divorced,High School,Unemployed,0.96," 1,742 ",6,2746000,10.35,60,Auto Loan,sixties
31,Female,Single,Bachelor,Unemployed,0.13," 1,914 ",7,4112000,18.85,12,Home Loan,thirties
45,Male,Single,High School,Unemployed,0.52," 1,142 ",1,199000,13.81,48,Home Loan,forties
40,Female,Divorced,Master,Employed,0.55, 857 ,5,4054000,19.21,36,Auto Loan,forties
51,Female,Married,PhD,Unemployed,0.75," 1,314 ",7,2446000,9.56,60,Personal Loan,fifties
63,Male,Married,Master,Employed,0.56," 1,371 ",4,1323000,16.2,24,Auto Loan,sixties
31,Female,Single,Bachelor,Unemployed,0.52," 2,628 ",6,4182000,6.7,60,Home Loan,thirties
45,Male,Divorced,Bachelor,Employed,0.22, 914 ,8,908000,9.55,36,Auto Loan,forties
43,Female,Single,High School,Self-Employed,0.12," 2,457 ",10,1769000,11.96,60,Personal Loan,forties
42,Female,Divorced,PhD,Unemployed,0.45, 285 ,7,2504000,9.81,24,Personal Loan,forties
41,Female,Divorced,PhD,Employed,0.08," 1,228 ",4,2730000,7.02,36,Home Loan,forties
58,Female,Single,PhD,Self-Employed,0.75," 1,885 ",8,3573000,4.18,12,Personal Loan,fifties
35,Female,Divorced,High School,Employed,0.17, 371 ,2,635000,18.8,48,Home Loan,thirties
21,Female,Divorced,High School,Employed,0.26, 542 ,2,3370000,6.88,24,Home Loan,twenties
48,Male,Married,Bachelor,Employed,0.04," 1,285 ",6,4094000,9.88,60,Auto Loan,forties
48,Male,Divorced,Bachelor,Unemployed,0.6," 2,285 ",10,3749000,10.95,60,Auto Loan,forties
50,Male,Married,PhD,Self-Employed,0.37, 942 ,3,2647000,1.2,60,Personal Loan,fifties
38,Female,Divorced,High School,Unemployed,0.92," 2,742 ",8,2613000,1.17,48,Auto Loan,thirties
34,Male,Divorced,Master,Employed,0.41," 2,028 ",7,3411000,5.75,48,Auto Loan,thirties
36,Male,Single,Bachelor,Unemployed,0.76," 2,228 ",5,2488000,13.32,60,Auto Loan,thirties
32,Male,Married,Bachelor,Self-Employed,0.11," 1,657 ",10,3898000,6.17,60,Auto Loan,thirties
40,Male,Married,High School,Unemployed,0.02, 371 ,5,2358000,3.38,48,Home Loan,forties
34,Male,Married,High School,Self-Employed,0.22," 1,514 ",5,4281000,19.96,48,Home Loan,thirties
41,Male,Married,High School,Self-Employed,0.78, 257 ,9,4044000,4.45,36,Auto Loan,forties
27,Male,Single,PhD,Employed,0.74, 114 ,4,3966000,14.97,12,Home Loan,twenties
33,Female,Single,Master,Self-Employed,0.16," 2,657 ",1,4710000,10.9,36,Auto Loan,thirties
39,Male,Single,High School,Unemployed,0.22, 400 ,4,3742000,7.17,24,Auto Loan,thirties
27,Female,Married,High School,Employed,0.58," 2,514 ",8,1400000,8.06,12,Personal Loan,twenties
51,Male,Divorced,Master,Unemployed,0.06," 1,285 ",3,4599000,16.04,24,Auto Loan,fifties
40,Female,Single,Bachelor,Employed,0.69," 1,285 ",3,2203000,18.07,48,Home Loan,forties
55,Female,Divorced,PhD,Employed,0.57," 1,971 ",6,2815000,14.92,36,Home Loan,fifties
30,Male,Divorced,Bachelor,Self-Employed,0.3, 942 ,9,3180000,9.63,60,Auto Loan,thirties
31,Male,Divorced,Master,Unemployed,0.24," 2,628 ",2,4621000,16.56,24,Home Loan,thirties
51,Male,Divorced,Master,Self-Employed,0.41," 1,171 ",2,907000,10.94,12,Personal Loan,fifties
31,Male,Married,High School,Self-Employed,0.19, 114 ,10,3360000,13.5,60,Home Loan,thirties
57,Female,Married,Master,Employed,0.61, 257 ,1,1851000,13.46,12,Auto Loan,fifties
23,Female,Divorced,PhD,Self-Employed,0.79, 200 ,10,2330000,11.05,12,Auto Loan,twenties
33,Male,Married,Bachelor,Unemployed,0.39, 685 ,9,2187000,11.83,24,Home Loan,thirties
55,Female,Divorced,High School,Unemployed,0.58," 2,457 ",8,3683000,17.77,24,Personal Loan,fifties
45,Female,Divorced,Bachelor,Unemployed,1.0," 1,600 ",6,2744000,11.45,36,Auto Loan,forties
60,Female,Divorced,Master,Unemployed,0.24," 1,971 ",4,3246000,15.55,36,Auto Loan,sixties
48,Female,Married,High School,Self-Employed,0.6," 1,885 ",3,2632000,1.12,24,Personal Loan,forties
21,Female,Divorced,Bachelor,Employed,0.04," 1,285 ",3,1261000,6.03,60,Personal Loan,twenties
36,Female,Married,PhD,Unemployed,0.92," 2,657 ",2,2824000,16.07,24,Auto Loan,thirties
64,Male,Divorced,Master,Employed,0.73," 2,085 ",7,758000,15.82,36,Auto Loan,sixties
46,Male,Married,High School,Unemployed,0.78," 1,371 ",1,2657000,10.96,36,Home Loan,forties
29,Female,Divorced,Bachelor,Employed,0.05," 2,657 ",7,3838000,15.3,60,Home Loan,twenties
34,Female,Single,PhD,Employed,0.13, 285 ,8,4894000,15.16,60,Auto Loan,thirties
25,Female,Divorced,PhD,Unemployed,0.13, 485 ,8,4792000,4.76,48,Home Loan,twenties
32,Male,Married,High School,Self-Employed,0.78," 1,171 ",10,852000,3.14,48,Auto Loan,thirties
42,Male,Single,Master,Unemployed,0.66," 2,800 ",5,1520000,19.77,60,Auto Loan,forties
29,Female,Married,Bachelor,Employed,0.69, 542 ,2,1043000,15.05,24,Home Loan,twenties
38,Male,Single,High School,Self-Employed,0.45, 57 ,6,1853000,15.06,24,Personal Loan,thirties
53,Female,Divorced,PhD,Unemployed,0.73, 514 ,1,3259000,12.08,60,Personal Loan,fifties
30,Male,Single,Bachelor,Unemployed,0.62, 171 ,8,170000,2.27,36,Home Loan,thirties
43,Male,Married,Master,Unemployed,0.39," 1,371 ",9,936000,18.17,48,Home Loan,forties
25,Male,Married,PhD,Unemployed,0.93, 57 ,1,2175000,18.52,36,Auto Loan,twenties
45,Male,Married,Master,Unemployed,0.35," 2,285 ",5,2081000,19.92,60,Auto Loan,forties
60,Female,Single,High School,Unemployed,0.95, 800 ,3,2967000,18.05,24,Personal Loan,sixties
44,Male,Single,Bachelor,Unemployed,0.15," 1,114 ",10,2862000,9.53,24,Personal Loan,forties
28,Male,Married,Master,Unemployed,0.71," 1,914 ",3,3708000,19.92,24,Home Loan,twenties
30,Female,Married,High School,Employed,0.32, 514 ,1,2773000,17.72,48,Auto Loan,thirties
48,Female,Married,Bachelor,Employed,0.13, 85 ,10,2339000,12.51,60,Personal Loan,forties
34,Male,Divorced,High School,Self-Employed,0.08," 2,828 ",8,1225000,10.54,60,Auto Loan,thirties
61,Female,Married,PhD,Self-Employed,0.47, 571 ,4,1998000,1.61,12,Auto Loan,sixties
34,Male,Married,High School,Employed,0.93," 1,600 ",10,4210000,14.07,48,Personal Loan,thirties
45,Male,Divorced,PhD,Unemployed,0.31," 2,228 ",10,4598000,10.98,12,Home Loan,forties
48,Female,Married,Bachelor,Unemployed,0.54," 2,685 ",1,4778000,8.36,12,Personal Loan,forties
48,Female,Single,Master,Self-Employed,0.17," 1,057 ",10,558000,14.11,24,Auto Loan,forties
48,Male,Divorced,High School,Employed,0.78," 2,542 ",9,1235000,8.47,36,Auto Loan,forties
31,Female,Divorced,Bachelor,Self-Employed,0.09," 1,171 ",3,1136000,2.73,48,Home Loan,thirties
25,Female,Divorced,Bachelor,Self-Employed,0.55, 142 ,3,2912000,11.74,24,Personal Loan,twenties
31,Male,Single,Master,Self-Employed,0.73," 1,628 ",5,1616000,3.23,24,Personal Loan,thirties
59,Female,Married,PhD,Self-Employed,0.86," 1,971 ",1,4239000,5.52,60,Home Loan,fifties
49,Female,Single,High School,Unemployed,0.6, 885 ,9,2433000,12.78,60,Personal Loan,forties
31,Male,Married,Master,Employed,0.15, 114 ,10,2604000,7.29,12,Personal Loan,thirties
46,Male,Married,Master,Unemployed,0.66," 2,542 ",10,4901000,15.96,24,Auto Loan,forties
57,Female,Married,High School,Self-Employed,0.32," 1,371 ",2,3685000,17.02,12,Auto Loan,fifties
28,Male,Divorced,Master,Self-Employed,0.53," 1,914 ",4,1854000,12.63,12,Home Loan,twenties
60,Male,Single,Master,Self-Employed,0.61," 1,142 ",5,4507000,11.93,60,Auto Loan,sixties
59,Female,Divorced,PhD,Self-Employed,0.81," 2,228 ",4,2537000,19.61,12,Personal Loan,fifties
49,Male,Divorced,Bachelor,Unemployed,1.0," 1,485 ",1,2900000,7.64,24,Personal Loan,forties
32,Female,Single,High School,Self-Employed,0.3," 2,000 ",6,151000,3.16,36,Auto Loan,thirties
56,Male,Married,Bachelor,Self-Employed,0.83," 2,457 ",8,4080000,16.15,24,Auto Loan,fifties
60,Female,Divorced,Master,Self-Employed,0.78," 1,485 ",1,4471000,6.69,36,Home Loan,sixties
21,Male,Divorced,Master,Self-Employed,0.07, 542 ,5,361000,7.44,48,Home Loan,twenties
30,Female,Married,High School,Self-Employed,0.71," 1,142 ",1,2377000,8.86,48,Personal Loan,thirties
48,Female,Married,Master,Employed,0.11," 2,857 ",1,1795000,18.35,48,Home Loan,forties
50,Male,Married,Master,Self-Employed,0.73," 1,914 ",5,2846000,3.72,12,Home Loan,fifties
28,Male,Divorced,High School,Self-Employed,0.39," 1,885 ",2,134000,6.91,12,Home Loan,twenties
25,Female,Single,High School,Employed,0.52," 2,400 ",5,289000,11.97,36,Home Loan,twenties
40,Male,Married,Master,Self-Employed,0.53," 2,800 ",8,1087000,6.18,24,Auto Loan,forties
20,Male,Married,Master,Unemployed,0.32, 514 ,5,4916000,5.65,12,Auto Loan,twenties
41,Female,Married,Bachelor,Employed,0.47," 2,457 ",1,989000,8.29,12,Auto Loan,forties
31,Female,Divorced,Master,Self-Employed,0.33, 714 ,9,759000,19.5,48,Home Loan,thirties
25,Female,Married,PhD,Self-Employed,0.68," 2,571 ",8,4047000,5.4,24,Personal Loan,twenties
36,Female,Single,Bachelor,Unemployed,0.92," 1,200 ",6,3902000,10.26,12,Auto Loan,thirties
42,Female,Single,Bachelor,Self-Employed,0.77," 2,200 ",10,1169000,10.65,48,Home Loan,forties
40,Male,Single,PhD,Self-Employed,0.59, 857 ,10,2144000,11.41,48,Auto Loan,forties
41,Male,Divorced,PhD,Self-Employed,0.57," 1,228 ",9,2081000,4.29,12,Home Loan,forties
56,Female,Married,PhD,Self-Employed,0.56," 1,600 ",3,2684000,19.16,12,Home Loan,fifties
63,Female,Single,PhD,Unemployed,0.66, 314 ,4,1265000,17.86,12,Personal Loan,sixties
29,Female,Divorced,Master,Self-Employed,0.62," 1,628 ",4,1825000,13.95,36,Auto Loan,twenties
63,Female,Single,Master,Employed,0.58," 2,228 ",9,3491000,17.11,36,Personal Loan,sixties
55,Male,Married,Master,Employed,0.86, 85 ,4,3721000,14.34,48,Home Loan,fifties
65,Female,Single,PhD,Self-Employed,0.55," 2,400 ",3,4084000,3.64,60,Auto Loan,sixties
46,Male,Single,Bachelor,Employed,0.01," 2,342 ",1,1308000,14.71,48,Home Loan,forties
28,Male,Married,PhD,Self-Employed,0.89," 2,542 ",10,3671000,12.84,48,Home Loan,twenties
55,Female,Single,Master,Employed,0.19," 2,200 ",1,4948000,10.46,24,Home Loan,fifties
37,Female,Divorced,Master,Employed,0.98," 2,057 ",8,3192000,3.15,48,Home Loan,thirties
29,Female,Single,High School,Unemployed,0.89, 314 ,4,4063000,12.98,12,Home Loan,twenties
54,Female,Divorced,High School,Self-Employed,0.54, 28 ,8,3909000,10.74,48,Home Loan,fifties
41,Female,Single,Master,Self-Employed,0.17," 2,514 ",10,2651000,14.81,60,Auto Loan,forties
60,Female,Divorced,Bachelor,Unemployed,0.05," 1,057 ",10,329000,6.45,12,Personal Loan,sixties
24,Female,Single,Bachelor,Unemployed,0.28, 914 ,1,1036000,12.47,60,Home Loan,twenties
62,Female,Single,Bachelor,Self-Employed,0.78, 857 ,8,1617000,16.19,12,Auto Loan,sixties
29,Male,Single,PhD,Self-Employed,0.24," 1,600 ",3,1869000,11.98,36,Personal Loan,twenties
36,Male,Married,Bachelor,Self-Employed,0.4," 1,085 ",8,4567000,5.44,48,Auto Loan,thirties
29,Female,Married,Master,Self-Employed,0.38," 1,142 ",9,444000,2.85,60,Home Loan,twenties
47,Female,Single,Master,Self-Employed,0.8, 914 ,10,3381000,9.76,24,Home Loan,forties
57,Male,Divorced,Master,Unemployed,0.69, 657 ,6,4694000,1.2,12,Personal Loan,fifties
46,Male,Divorced,High School,Unemployed,0.45, 800 ,5,2213000,4.67,12,Home Loan,forties
23,Male,Divorced,High School,Unemployed,0.96, 314 ,10,1190000,8.14,60,Personal Loan,twenties
64,Male,Single,Master,Self-Employed,0.66, 257 ,8,2418000,15.62,36,Auto Loan,sixties
24,Female,Married,PhD,Self-Employed,0.33, 200 ,5,2320000,4.38,12,Auto Loan,twenties
59,Female,Married,PhD,Employed,0.14," 2,800 ",7,1932000,12.67,12,Auto Loan,fifties
36,Male,Married,High School,Employed,0.57, 914 ,8,257000,18.03,24,Home Loan,thirties
20,Male,Divorced,PhD,Self-Employed,0.15," 1,200 ",7,4920000,1.07,48,Auto Loan,twenties
45,Male,Divorced,Bachelor,Employed,0.38," 2,514 ",8,1117000,11.78,36,Auto Loan,forties
39,Female,Married,High School,Self-Employed,0.53," 1,228 ",2,3956000,15.45,36,Home Loan,thirties
31,Male,Single,Bachelor,Self-Employed,0.7, 371 ,6,4181000,2.61,48,Home Loan,thirties
28,Male,Married,High School,Unemployed,1.0, 857 ,8,3361000,2.2,60,Home Loan,twenties
51,Female,Married,High School,Self-Employed,0.06," 2,857 ",1,3502000,3.25,60,Auto Loan,fifties
54,Male,Divorced,Bachelor,Employed,0.04, 514 ,8,260000,9.95,60,Personal Loan,fifties
64,Male,Married,Bachelor,Unemployed,0.05," 1,114 ",2,3927000,12.61,60,Personal Loan,sixties
27,Female,Divorced,Bachelor,Employed,0.8," 1,542 ",6,3472000,7.16,60,Home Loan,twenties
40,Male,Married,Bachelor,Self-Employed,0.06," 1,000 ",3,3583000,4.19,36,Home Loan,forties
48,Male,Divorced,High School,Employed,0.1," 2,285 ",10,3255000,15.78,12,Auto Loan,forties
20,Male,Married,High School,Unemployed,0.65," 1,028 ",7,4093000,14.15,24,Personal Loan,twenties
37,Female,Single,Bachelor,Employed,0.61, 114 ,10,1610000,14.63,60,Personal Loan,thirties
39,Female,Single,High School,Unemployed,0.24, 428 ,9,903000,12.76,60,Home Loan,thirties
49,Male,Single,High School,Employed,0.11, 542 ,8,4273000,4.35,12,Personal Loan,forties
43,Female,Married,PhD,Self-Employed,0.33," 2,771 ",8,463000,2.98,12,Home Loan,forties
